timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219902.851,4.883,-65.918,3.906,-29.297,0.000
1722219902.855,-14.648,-458.984,-96.191,-19.531,0.000
1722219902.859,-28.320,-703.125,-93.262,-0.488,0.000
1722219902.863,-0.488,-291.992,-19.043,0.977,0.000
1722219902.867,11.719,-132.324,-34.668,-10.254,0.000
1722219902.871,-5.371,-566.406,-102.539,-20.508,0.000
1722219902.875,-20.020,-767.090,-92.773,-14.648,0.000
1722219902.879,-10.254,-591.797,-52.246,-10.254,0.000
1722219902.882,-1.465,-724.609,-48.828,-20.996,0.000
1722219902.886,-14.648,-938.477,-133.789,-26.367,0.000
1722219902.890,-32.227,-870.605,-128.418,-26.367,0.000
1722219902.894,-33.203,-366.211,21.973,-34.668,0.000
1722219902.898,-13.184,-413.574,-17.578,-38.574,0.000
1722219902.902,-14.160,-890.137,-86.914,-48.340,0.000
1722219902.906,-36.621,-834.961,-53.223,-44.434,0.000
1722219902.910,-43.457,-373.535,9.766,-31.738,0.000
1722219902.914,-24.902,-272.949,-4.883,-42.969,0.000
1722219902.918,-25.879,-565.430,-38.086,-63.965,0.000
1722219902.922,-44.922,-567.871,-41.016,-72.754,0.000
1722219902.925,-52.734,-666.992,-60.059,-53.711,0.000
